id,start_date,lat,lon,l3,surface_total,surface_covered,price,title,property_type,operation_type
Ch0Ga6xamyZcJnmiD9MQzw==,2019-05-01,-34.5471105036,-58.46888236,Nuñez,44.0,40.0,15000.0,Departamento de dos ambientes en alquiler Nuñez,Departamento,Alquiler
BaWHd6VIra/TMjZErHVvkQ==,2019-05-01,-34.5396675,-58.4758611,Nuñez,66.0,58.0,17500.0,General Paz al 1100 - Nuñez - 3amb Piso 7 Vista Abierta ¡Cochera opcional!,Departamento,Alquiler
uOld0Bs5i27VXxCMkwl1XA==,2019-05-01,-34.5816987,-58.4335472,Palermo,39.0,35.0,19500.0,Monoambiente amoblado en  Palermo Hollywood,Departamento,Alquiler
PtZUQc+QMNu4fvqS57NT5w==,2019-05-01,-34.5738969,-58.4338769,Palermo,48.0,43.0,22000.0,"2 ambientes amoblado, vista abierta y luminoso",Departamento,Alquiler
isU/5RRQFrdOTQK1lkxNEA==,2019-05-01,-34.5806748315,-58.4248864122,Palermo,40.0,40.0,15000.0,Alquiler departamento de 2 ambientes,Departamento,Alquiler
9+QSHSzRYbrTfc5IQiVV2Q==,2019-05-01,-34.5821763,-58.4337218,Palermo,56.0,51.0,30000.0,Expectacular Duplex Amoblado y Equipado - Torre Servicios !!!,Departamento,Alquiler
uSkEtN8W0ZBXo+DX/KF9yw==,2019-05-01,-34.5729697,-58.4229832,Palermo,45.0,45.0,18000.0,DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
OZhEDQ0t2u1cunT1S4Xbug==,2019-05-01,-34.5623588664,-58.4521619788,Belgrano,177.0,167.0,40000.0,Alquiler Departamento 4 amb.- Belgrano Barrancas,Departamento,Alquiler
vF5PiY19fv7hKTR6iDy4iA==,2019-05-01,-34.5559781356,-58.4614217312,Belgrano,41.0,41.0,11500.0,Departamento - Belgrano,Departamento,Alquiler
Ul518GdtUzSUVdgStsrE+Q==,2019-05-01,-34.5654789421,-58.4715513793,Belgrano,38.0,35.0,14000.0,ALQUILER EXCELENTE MONO AMBIENTE VISTA ABIERTA MUY LUMINOSO CON AMENITIES EN COGHLAN,Departamento,Alquiler
OgbOivkWoms/ix4aJ15opg==,2019-05-01,-34.5708067,-58.4511644,Belgrano,40.0,37.0,17900.0,Departamento - Belgrano,Departamento,Alquiler
4waIJYjnt7PBu4pp1vE08Q==,2019-05-01,-34.5555189462,-58.4619274116,Belgrano,41.0,41.0,11500.0,Departamento - Belgrano,Departamento,Alquiler
ESI8tIjO13QN+it2E0aFLA==,2019-05-01,-34.5949618773,-58.3933185144,Recoleta,39.0,39.0,32000.0,DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
VgBq2csjQvF4/PrDFxENUQ==,2019-05-01,-34.6148483,-58.4604643,Caballito,40.0,35.0,14000.0,MONOAMBIENTE EN ALQUILER - TRELLES 1040 - CABALLITO,Departamento,Alquiler
2L0geYa4MqFjz8EuGL4J2Q==,2019-05-01,-34.617705,-58.449079,Caballito,50.0,48.0,21000.0,Alquiler Amoblado - Departamento - 2 ambientes - Caballito - Amenities,Departamento,Alquiler
DLBDwsFZyyjqmbfZ1mdCgw==,2019-05-01,,,Villa Urquiza,47.0,45.0,12000.0,Lindo depto de 2 ambientes con muy ubicación,Departamento,Alquiler
uKm2kzo9qOv6RYWkQJUHLg==,2019-05-01,-34.57597733,-58.4861145,Villa Urquiza,70.0,67.0,24000.0,Bauness  2200 5°  - $ 24.000 - Departamento Alquiler,Departamento,Alquiler
xh3bA5mjQrWcwHNGjDu4LQ==,2019-05-01,-34.5997691,-58.4221127,Almagro,45.0,45.0,14000.0,LOCAL EN ALQUILER,Local comercial,Alquiler
WRfCaBshhGZe8xtdSeuFVg==,2019-05-01,-34.5652869439,-58.4362119259,Palermo,40.0,40.0,34000.0,Local Comercial. Planta Baja: 3.30 x 10 m. Se ensancha a 4.50 m. Apto todo destino. Sin expensas.,Local comercial,Alquiler
yxl+SDw9QoQc2oZC1CzKbg==,2019-05-01,-34.5979436,-58.4095198,Palermo,100.0,100.0,44000.0,EXCELENTE LOCAL EN ESQUINA AV. CORDOBA Y LAPRIDA,Local comercial,Alquiler
oDOExCVg3w0JOiJxtI868Q==,2019-05-01,-34.5970969576,-58.3890949376,Barrio Norte,76.0,76.0,35000.0,Local Comercial. Planta Baja: 4.50 x 8.50 m. Subsuelo: 38 m². Sin expensas,Local comercial,Alquiler
VOpvGVli9QQVfMR1TTBfAQ==,2019-05-01,-34.6024865947,-58.4334031511,Villa Crespo,94.0,94.0,48000.0,Local de 1 ambiente en Alquiler en Villa crespo,Local comercial,Alquiler
vpOL2MQVuDT6AvFrPFE1cg==,2019-05-01,-34.62318599,-58.4669977265,Flores,28.0,28.0,13500.0,CASA EN ALQUILER 1 1/2 AMB RECICLADA A NUEVA SIN EXPENSAS,PH,Alquiler
OsgN9fz7PK5AqmCY8LN9Hw==,2019-05-01,-34.5489289,-58.4556288,Nuñez,44.0,40.0,14000.0,Ibera al 1500 y Av. del Libertador - 2 amb - piso alto muy luminoso - edificio c/cancha de paddle,Departamento,Alquiler
J35hCrRK1QYCpvZe/+0XtQ==,2019-05-01,-34.6036016055,-58.428766581,Almagro,55.0,40.0,17500.0,ALMAGRO. Alquiler 2 ambientes con balcon Terraza c/sin Cochera,Departamento,Alquiler
AIn4m71CK8wjZE9Usmlw3g==,2019-05-01,-34.5537770475,-58.456705906,Belgrano,44.0,41.0,15200.0,DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
a8m12hYO/0WKdHIS3sARPw==,2019-05-01,-34.558650474,-58.4533381462,Belgrano,67.0,57.0,39000.0,"Mendoza 1900, Belgrano / 2 amb amoblado con amenities y cochera. Muy luminoso y con vista abierta.",Departamento,Alquiler
SjPxLd0DJBe7igSqwiKvmA==,2019-05-01,-34.5585707,-58.4623993,Belgrano,48.0,44.0,18000.0,DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
gMSbnEx02TxA84S7zXYudA==,2019-05-01,-34.5957192,-58.3961082,Recoleta,45.0,40.0,16500.0,2 ambientes Santa fe y ayacucho,Departamento,Alquiler
unKlurSAUNNdHJ87MyB+fA==,2019-05-01,,,Recoleta,95.0,65.0,27000.0,ALQUILER  2 AMB. CON TERRAZA,Departamento,Alquiler
blQn33eOSz2zAzuvulX5hg==,2019-05-01,-34.628599,-58.437028,Caballito,45.0,40.0,12000.0,REGIO DEPARTAMENTO 2 AMB. C/BALCON CORRIDO X ESCALERA,Departamento,Alquiler
xfwePw0uQsQumMcxWp1quQ==,2019-05-01,-34.6116423,-58.4465187,Caballito,40.0,40.0,12500.0,DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
x86dW3HLgNdgjR/4e+1j4w==,2019-05-01,-34.6282696538,-58.4506148061,Caballito,48.0,45.0,14000.0,Alquiler 2 ambientes Caballito,Departamento,Alquiler
hsisClpA/65y0aWrI3ozsw==,2019-05-01,-34.5876407,-58.4111915,Barrio Norte,35.0,35.0,12000.0,departamento de 2 ambientes con lavadero,Departamento,Alquiler
YygVzs75FOSPNlJbmo4GhQ==,2019-05-01,-34.5881003586,-58.4002735698,Barrio Norte,36.0,36.0,14000.0,Hermoso 2 ambientes en Barrio Norte,Departamento,Alquiler
awHZmXxIoEQefK1AtImSDA==,2019-05-01,-34.6056159,-58.4400859,Villa Crespo,39.0,39.0,12500.0,Departamento de 2 ambientes en Alquiler en Villa crespo,Departamento,Alquiler
4G/Etig5jGVpEbqQ0oQJMQ==,2019-05-01,-34.5720248,-58.4778856,Villa Urquiza,36.0,36.0,13500.0,Dos ambientes. Muy luminoso,Departamento,Alquiler
l0cLEBA3YuY7wEr0nvDBPQ==,2019-05-01,-34.5705179,-58.4914578,Villa Urquiza,56.0,54.0,12500.0,2 AMBIENTES EN ALQUILER EN VILLA URQUIZA,Departamento,Alquiler
lgCrT2RA32IQciOGfc8tpw==,2019-05-01,-34.5690959,-58.4861116,Villa Urquiza,57.0,52.0,13000.0,Departamento 2 ambientes al frente con balcón,Departamento,Alquiler
2KL3EbLC/WzcmKxe6pT6sA==,2019-05-01,-34.5793865,-58.4245523,Palermo,80.0,70.0,25000.0,Alquiler dpto Palermo,Departamento,Alquiler
C3+bk+HLYMYPceOa3XgExQ==,2019-05-01,-34.5890688,-58.3834104,Recoleta,93.0,93.0,26500.0,Muy lindo departamento de dos dormitorios en Recoleta - Libertad y Posadas,Departamento,Alquiler
jxFENYus6jE93HAU+J5VbQ==,2019-05-01,-34.6226920091,-58.430788773,Caballito,68.0,65.0,20000.0,Alquiler 3 ambientes en Caballito,Departamento,Alquiler
Dd0Cka1SaIqZ/u+CQfS2zg==,2019-05-01,-34.5949216,-58.4013038,Barrio Norte,55.0,50.0,14000.0,Santa Fe y Pueyrredon 3 Amb c/balcon y Lavadero,Departamento,Alquiler
vse/cJp0yXQzA1bQ0jauWw==,2019-05-01,-34.6009149,-58.4050038,Barrio Norte,92.0,85.0,26000.0,Excelente departamento en alquiler en Barrio Norte,Departamento,Alquiler
4QH4J7/vXZmwCAFMiHQfcw==,2019-05-01,-34.5769745,-58.4862177,Villa Urquiza,65.0,58.0,19000.0,Departamento 3 ambientes con balcón corrido,Departamento,Alquiler
cfSoVe8tBu1wapaOQYUu6w==,2019-05-01,-34.612552,-58.4698944,Flores,85.0,70.0,18900.0,AMPLIO DEPTO  AL FRENTE 4 AMB. CON 2 BAÑOS Y BALCÓN CORRIDO,Departamento,Alquiler
Mb/eGwuzFeSn3nObqAvAhA==,2019-05-01,-34.5607308373,-58.4519918768,Belgrano,94.0,90.0,30000.0,DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
riHBaROB8DKGso75Yuu59w==,2019-05-01,-34.5725794,-58.4820978,Villa Urquiza,87.0,78.0,25000.0,Depto de 4 amb al frente con cochera en alquiler,Departamento,Alquiler
paNL1UW0sByn/moU5NmiNg==,2019-06-21,-34.592467,-58.410015,Recoleta,125.0,125.0,35000.0,Alquiler Depósito o Galpón a Estrenar Recoleta.,Depósito,Alquiler
CJi4vMxqgPhv5Z9CXY+kAw==,2019-06-21,-34.615337,-58.462654,Flores,72.0,50.0,15000.0,Departamento 2 ambientes balcón parrilla cochera,Departamento,Alquiler
FflROMwolXFA3s5sXndngA==,2019-06-21,-34.539059,-58.4661194,Nuñez,90.0,90.0,27500.0,11 DE SEPTIEMBRE DE,Departamento,Alquiler
19+Cbi0mvlFjDQiwBokxBA==,2019-06-21,-34.537059,-58.467319,Nuñez,67.0,65.0,21000.0,Alquiler Departamento 3 Ambientes en Nuñez,Departamento,Alquiler
3p1AkXeqR5r/6JUNJpGIDA==,2019-06-21,-34.60534,-58.418421,Almagro,88.0,88.0,16000.0,Alquiler Depto.. 4 ambientes Almagro,Departamento,Alquiler
krPzy4mDXMf/EYgY48wZmQ==,2019-06-21,-34.61737442,-58.41629791,Almagro,50.0,40.0,16500.0,Venezuela  3500 4°  - $ 16.500 - Departamento Alquiler,Departamento,Alquiler
qNqljPMD3BB7Viv9BhaDcQ==,2019-06-21,-34.595971,-58.421817,Palermo,33.0,28.0,15000.0,ALQUILER MONOAMBIENTE A ESTRENAR EN PALERMO,Departamento,Alquiler
UKphOk4YmzQnj9zeh1JA9A==,2019-06-21,,,Palermo,105.0,65.0,18000.0,Laprida Esq. Cabrera  100 8° - $ 18.000 - Departamento Alquiler,Departamento,Alquiler
LxSW5yHCdujd8dsthsnTdA==,2019-06-21,,,Palermo,115.0,115.0,45000.0,Alquiler Departamento 3 ambientes con Dependencia,Departamento,Alquiler
lZyEypLd04EqcMbAo1CM2g==,2019-06-21,-34.578695,-58.412113,Palermo,55.0,50.0,26000.0,"DEPTO EN ALQUILER, 3 AMBT AMUEBLADO - PALERMO !!",Departamento,Alquiler
COr+44hGDCmL7dh9L2t7pw==,2019-06-21,-34.558071,-58.451602,Belgrano,46.0,38.0,21000.0,Alquiler Departamento en Duplex 2 amb. Belgrano,Departamento,Alquiler
yg4r7pbMo0G+GkRgeg2pAg==,2019-06-21,-34.560297,-58.466769,Belgrano,80.0,76.0,30000.0,Alquiler 4 ambientes.Cochera/EXPENSAS INCLUIDAS,Departamento,Alquiler
Dsdic71Rx08gaFUdcmV6vw==,2019-06-21,-34.568727,-58.457998,Belgrano,51.0,48.0,20000.0,Alquiler 2 AMB Cochera fija cubierta Belgrano R,Departamento,Alquiler
eJNavmS3jrNbgQPzNrpftQ==,2019-06-21,-34.622357,-58.435193,Caballito,27.0,27.0,11500.0,Alquiler Monoambiente Exc Ubicacion y Amenities,Departamento,Alquiler
Jl+IzmOE1YYg634TYakUow==,2019-06-21,-34.61916,-58.428473,Caballito,27.0,27.0,9000.0,ALQUILER-MONOAMBIENTE-CABALLITO,Departamento,Alquiler
WrYU+sDxL0J7mBvD2HeMtw==,2019-06-21,-34.592467,-58.410015,Recoleta,125.0,125.0,35000.0,Alquiler Depósito o Galpón a Estrenar Recoleta.,Local comercial,Alquiler
2IxlocDed2ffZ+gcWkFpjg==,2019-06-21,-34.5777724673,-58.4764450386,Villa Urquiza,86.0,50.0,24000.0,Alquiler: Hermoso PH duplex 2 ambientes · Terraza y parrilla propia · Bajísimas expensas!,PH,Alquiler
6adfXQu6eHVSsdJGUVR7Cg==,2019-06-21,-34.5389151,-58.4703333,Nuñez,176.0,156.0,30000.0,Importante piso en Nuñez con cochera doble y baulera,Departamento,Alquiler
GtPSuZyQMBGKp4bUerrHwQ==,2019-06-21,-34.5446471,-58.4749157,Nuñez,84.0,80.0,45000.0,Complejo  Correa   Torre 4 amb c/ Cochera  PISCINA SUM  3000m2  de parque- Nuñez,Departamento,Alquiler
5Vk+dnQ6n6qgzFQL+mj0kw==,2019-06-21,-34.5691649,-58.4317106,Palermo,37.0,35.0,14000.0,MONOAMBIENTE en Las Cañitas.,Departamento,Alquiler
BH2PFfSYnE3FCmtJAghC3g==,2019-06-21,-34.564999,-58.4396972,Palermo,60.0,60.0,27000.0,Alquiler Departamento 3 ambientes al Frente Todo Reciclado Valor Paquete  - Las Cañitas,Departamento,Alquiler
LEJrwgGxE3XdFpWVocX0Dg==,2019-06-21,-34.5860562,-58.411874,Palermo,97.0,95.0,35000.0,VENTA Y/O ALQUILER DEPARTAMENTO DE 4 AMBIENTES FRENTE CON COCHERA EN PALERMO,Departamento,Alquiler
6kk+g6MLwQ56kJGzKzSO6A==,2019-06-21,-34.5775311,-58.4361967,Palermo,58.0,43.0,23000.0,Departamento - Palermo Hollywood,Departamento,Alquiler
H5BAqIv/kzuW0IqkNuiRbg==,2019-06-21,-34.5845106,-58.4129489,Palermo,95.0,85.0,30000.0,Aráoz al 2700,Departamento,Alquiler
k9bEm/JbKLzDfVHMTJZw5A==,2019-06-21,-34.5825491,-58.41735,Palermo,52.0,47.0,25000.0,2 Ambientes con Cochera Vista al Río | Palermo,Departamento,Alquiler
5JA8ZPtuC+e/KbTN7N5Z5A==,2019-06-21,-34.5845106,-58.4129489,Palermo,45.0,45.0,23000.0,Aráoz al 2700,Departamento,Alquiler
9K5u6CYSJSfeWNDKeoh/tg==,2019-06-21,-34.5678305,-58.4333428,Palermo,43.0,40.0,20000.0,Dos Ambientes con cochera y amenities,Departamento,Alquiler
kZ6/WK5EKGHvHi702T134w==,2019-06-21,-34.5783612144,-58.4237210244,Palermo,41.0,41.0,13500.0,Oro al 2500 - Excelente 2 ambientes con amenities,Departamento,Alquiler
jMtbdzWTw21uQUa09x8YdQ==,2019-06-21,-34.5858401,-58.4381424,Palermo,90.0,78.0,46000.0,Departamento - Palermo Hollywood,Departamento,Alquiler
kfukwluNbnvPOmcXCd5Wdg==,2019-06-21,-34.5683026,-58.4309411,Palermo,72.0,69.0,25000.0,Loft al frente de 1 dormitorio y escritorio con cochera fija en alquiler en Las Cañitas.,Departamento,Alquiler
vu2VXiSW6UMoXzBsco5ntQ==,2019-06-21,-34.5845106,-58.4129489,Palermo,95.0,85.0,30000.0,Aráoz al 2700,Departamento,Alquiler
tIllRh9fO4n3b83pSirh2A==,2019-06-21,-34.5771459,-58.4229785,Palermo,64.0,58.0,23000.0,Alquiler departamento de 2 ambientes con cochera,Departamento,Alquiler
FrP2l4V9l9drS86qYc1TMA==,2019-06-21,-34.5742152,-58.439068,Belgrano,36.0,33.0,16000.0,Monoambiente SUPER luminoso-categoria-amenities- apto profesional-,Departamento,Alquiler
hbb70z0hDvuvw3HL5qMv0w==,2019-06-21,-34.5653315,-58.4730059,Belgrano,55.0,45.0,16500.0,Departamento - Belgrano,Departamento,Alquiler
bwqR/mAgEbIiRXauTnGSFg==,2019-06-21,-34.5742152,-58.439068,Belgrano,37.0,34.0,17000.0,Monoambiente super luminoso - a metros de Av. Cabildo -apto profesional-,Departamento,Alquiler
oCx8sRDSuNbg8g8IVvX76w==,2019-06-21,-34.5592675,-58.4459205,Belgrano,56.0,50.0,28000.0,Excelente Departamento 2 Ambientes en Belgrano,Departamento,Alquiler
BLBibpX0rarA1rsiPA5mfw==,2019-06-21,-34.5902194,-58.395788,Recoleta,43.0,40.0,27000.0,Departamento dos ambientes alquiler Recoleta,Departamento,Alquiler
+FCvpb7fqpEJ6NYU7dYIQg==,2019-06-21,-34.595318,-58.3844297,Recoleta,78.0,78.0,36000.0,Alquiler Departamento  3 ambientes con dependencia AMOBLADO Recoleta,Departamento,Alquiler
451WZb3I5DhgYNC1H9oPYQ==,2019-06-21,-34.5952691023,-58.405345854,Barrio Norte,74.0,74.0,23000.0,Barrio Norte,Departamento,Alquiler
PoIRI5Cy0M7OGX6yrtNt9A==,2019-06-21,-34.5845106,-58.4129489,Barrio Norte,45.0,45.0,23000.0,Aráoz al 2700,Departamento,Alquiler
ne2MQCsExW6EXO2kn6cx0w==,2019-06-21,-34.5969568,-58.4453789,Villa Crespo,33.0,31.0,10000.0,Hermoso Monoambiente con Balcón - Luminoso - Ubicación Ideal.,Departamento,Alquiler
HbpDrftm7a/I72xRMDIX7A==,2019-06-21,,,Villa Urquiza,46.0,40.0,17000.0,"Hermoso depto 2 Ambientes, excelente ubicación!",Departamento,Alquiler
EyOI0cBkRJvu+KRxIFCJqQ==,2019-02-06,-34.5968046,-58.4003518,Barrio Norte,39.0,39.0,12500.0,PH EN ALQUILER,PH,Alquiler
7iuQOLsNcAmY3hd1RkqZPw==,2019-02-06,-34.6312521,-58.4617411,Flores,172.0,156.0,35000.0,Alberdi 2400 Flores 4 Amb + Dep 170 m² Balcon Terraza Cochera Doble y Baulera,Departamento,Alquiler
Z5vxrFSKjpwzQ3ta8JtoQg==,2019-02-06,,,Palermo,28.0,28.0,10000.0,Mono ambiente amoblado amplio y luminoso,Departamento,Alquiler
n/emzj66lhT9Wc55+TyttQ==,2019-02-06,-34.5721,-58.4453,Belgrano,44.0,40.0,11700.0,CIUDAD DE LA PAZ 702,Departamento,Alquiler
jADLqc2nmwxYHUCWH39mlA==,2019-02-06,-34.620736,-58.4289103,Caballito,66.0,63.0,21000.0,DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
ak8vdck+M+bWeWidStqCgA==,2019-02-06,-34.6016746,-58.4407047,Villa Crespo,42.0,42.0,10500.0,DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
aL/18UIzBASSXeB0Ocv5wQ==,2019-02-06,-34.6385239,-58.45367,Flores,85.0,85.0,25000.0,LOCAL EN EQUINA CON AMPLIA VIDRIERA,Local comercial,Alquiler
fUu4ezqYYPW+ldGw2fCQhA==,2019-02-06,-34.6289997,-58.4592085,Flores,50.0,50.0,22000.0,Local - Flores,Local comercial,Alquiler
X6X2xhk9vpV/jE1OXekuiQ==,2019-02-06,-34.5512514236,-58.4586002476,Nuñez,138.0,88.0,36000.0,Hermoso PH para uso profesional o vivienda,Local comercial,Alquiler
2Duf42oxqAUp5FkxVP0Ldw==,2019-02-06,-34.5928722,-58.386093,Recoleta,45.0,45.0,28500.0,Local en alquiler en REcoleta,Local comercial,Alquiler
iMShXUwhdiUyOQCNCrMnyA==,2019-02-06,-34.5938152731,-58.3874054307,Barrio Norte,85.0,85.0,42000.0,Local Comercial. Planta Baja: 5 x 11 m. Subsuelo: 31 m². Pegado al colegio Jesus Maria.,Local comercial,Alquiler
X/2CiuKF3l85mwxu4Ltoig==,2019-02-06,-34.598626,-58.3853553,Barrio Norte,28.0,28.0,25000.0,LOCAL EN ALQUILER,Local comercial,Alquiler
3iBoBqOJ4TKTL3kLqFI8Hw==,2019-02-06,-34.6013268,-58.4395213,Villa Crespo,135.0,135.0,32000.0,Local - Villa Crespo,Local comercial,Alquiler
UJ+ubk6pMF/HMj0SXdqxOg==,2019-02-06,-34.5799218,-58.4762342,Villa Urquiza,56.0,56.0,25000.0,Local Sobre Av. Triunvirato Excelente ubicación 56 mts,Local comercial,Alquiler
wWT3KV3ZjWYOE9UawO5QxQ==,2019-02-06,-34.5776082,-58.4817372,Villa Urquiza,90.0,90.0,45000.0,Oficina,PH,Alquiler
UYCUFz3IO/mMM5JwDOJi/A==,2019-02-06,-34.633903,-58.4657453,Flores,47.0,43.0,10500.0,Venta / Alquiler monoambiente dividido a estrenar en Flores,Departamento,Alquiler
+Lmm69TbwIUma57F2SYQFw==,2019-02-06,-34.55125809,-58.46256256,Nuñez,39.0,39.0,10000.0,Arcos  3100 5°  - $ 10.000 - Departamento Alquiler,Departamento,Alquiler
WvUBNRrnxgTvgVs7UBYu6A==,2019-02-06,-34.5780224493,-58.4378663594,Palermo,30.0,30.0,15500.0,Palermo Hollywood Monoambiente,Departamento,Alquiler
FP0uQ6qeB0Pswpi312ea1A==,2019-02-06,-34.5952043,-58.4211319,Palermo,30.0,27.0,12000.0,Departamento - Palermo Viejo,Departamento,Alquiler
3bXyLgypgrYJSsWWpSdeBg==,2019-02-06,-34.5955563197,-58.4153029151,Palermo,45.0,30.0,19000.0,Monoambiente en alquiler en Palermo con balcón terraza - Sin expensas,Departamento,Alquiler
cl72apZIrBo+75GMq82HHg==,2019-02-06,-34.55302,-58.4508829,Belgrano,38.0,38.0,14800.0,Alquiler departamento en Belgrano,Departamento,Alquiler
gihPBv594G9S5wXe155JTA==,2019-02-06,,,Belgrano,45.0,39.0,12900.0,Hermoso monoambiente amoblado en Belgrano,Departamento,Alquiler
5LlC/+IhoYMmjxA+su242A==,2019-02-06,-34.5558219383,-58.4482692464,Belgrano,41.0,31.0,15000.0,DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
BmTG/M5zOCfwd9NtxZYEgQ==,2019-02-06,-34.5943221,-58.3933099,Recoleta,40.0,40.0,25000.0,Departamento - Recoleta,Departamento,Alquiler
5uaUcrLrfRVhL8odPvypog==,2019-02-06,-34.620964,-58.455078,Caballito,41.0,31.0,10000.0,Alquiler Departamento en Caballito Capital Federal Morelos 400,Departamento,Alquiler
NPhruC/vgp7MOUAbfvYubQ==,2019-02-06,,,Caballito,30.0,30.0,9800.0,Departamento - Caballito,Departamento,Alquiler
M0jZMPp9Q1dQPvqHakk6gQ==,2019-02-06,-34.5930908,-58.4089839,Barrio Norte,62.0,32.0,13000.0,DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
JrhmE5q6+OTqMUJZ/R2KAw==,2019-02-06,,,Villa Crespo,34.0,34.0,14000.0,Monoambiente amoblado en Villa Crespo.,Departamento,Alquiler
8sLhvwUagjHiKruv5jbFRg==,2019-02-06,-34.57862473,-58.489151,Villa Urquiza,40.0,40.0,10000.0,Olazabal  5300 5°  - $ 10.000 - Departamento Alquiler,Departamento,Alquiler
45DPVcgl8yNrCAhdolNwjA==,2019-02-06,-34.5746697,-58.4911794,Villa Urquiza,45.0,39.0,12000.0,"Loft alquilo excelente; 45 m2, con gran balcón terraza, lleno de luz y sol; Gym Laundry Jacuzzi con jdeck y gran solarium con parrilla",Departamento,Alquiler
