sede_id,sede_desc_castellano,sede_desc_ingles,pais_castellano,pais_ingles,region_geografica,pais_iso_2,pais_iso_3,pais_codigo_telefonico,ciudad_castellano,ciudad_ingles,ciudad_zona_horaria_gmt,ciudad_codigo_telefonico,estado,titular_nombre,titular_apellido,titular_cargo,direccion,codigo_postal,telefono_principal,telefonos_adicionales,celular_guardia,celulares_adicionales,fax_principal,faxes_adicionales,correo_electronico,correos_electronicos_adicionales,sitio_web,sitios_web_adicionales,redes_sociales,atencion_dia_desde,atencion_dia_hasta,atencion_hora_desde,atencion_hora_hasta,atencion_comentario,concurrencias,circunscripcion
CCEST,"Consulado  General  en  Ciudad  del  Este","Consulate  General  in  Ciudad  del  Este","REPÚBLICA  DEL  PARAGUAY","REPUBLIC  OF  PARAGUAY","AMÉRICA  DEL  SUR",PY,PRY,"595","Ciudad  del  Este","Ciudad  del  Este",-3,61,Activo,"Jorge  Nicolás  ","Zobenica","Cónsul  General","Boquerón  c/Adrián  Jara  -  Edificio  China  7º  piso","7000","00  595  61  500945","00  595  61  500638","00595982139333","","00  595  61  500974","","ccest@mrecic.gov.ar","","ccest.cancilleria.gov.ar/","","https://www.facebook.com/ArgEnCiudaddeleste/  //  https://www.instagram.com/argenciudaddeleste  //  ",Lunes,Viernes,08:00:00,13:00:00,"Atención  telefónica  hasta  las  16hs.","","Alto  Paraná, Canindeyú, Amambay" 
CCHIC,"Consulado  General  en  Chicago","Consulate  General  in  Chicago","Estados  Unidos  de  América","UNITED  STATES  OF  AMERICA","AMÉRICA  DEL  NORTE",US,USA,"1","Chicago","Chicago",-6,312,Activo,"Beatriz","Vivas","Cónsul  General","205  N.  Michigan  Ave, suite  4208/4209","IL  60601","00  1  312  819  2610","","00  1  312  909  0308","","00  1  312  819  2626","","cchic@mrecic.gov.ar","","https://cchic.cancilleria.gob.ar/","","https://twitter.com/argenchicago  //  https://www.facebook.com/ArgentinaEnChicago  //  https://www.youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured  //  ",,,00:00:00,00:00:00,"","","Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North  y  South  Dakota, Ohio  y  Wisconsin" 
CCOCH,"Consulado  en  Cochabamba","Consulate  in  Cochabamba","ESTADO  PLURINACIONAL  DE  BOLIVIA","PLURINATIONAL  STATE  OF  BOLIVIA","AMÉRICA  DEL  SUR",BO,BOL,"591","Cochabamba","Cochabamba",-4,4,Activo,"Patricia","Hurtado","Cónsul  General","Calle  Pantaleón  Dalence  No.  1437","no  existe","00  591  (4)  4255859","00  591  (4)  4297751","00  591  7172-1389","00  591    7172-1389","00  591  (4)  4297751","","ccoch@mrecic.gov.ar","","https://ccoch.cancilleria.gob.ar","","wwww.facebook.com/ArgentinaEnCochabamba  //  ",Lunes,Viernes,08:30:00,00:00:00,"8:30  a  17:00  atención  al  público  hasta  13:00","","Departamentos  de  Cochabamba  y  Chuquisaca" 
CCOLO,"Consulado  en  Colonia","Consulate  in  Colonia","REPÚBLICA  ORIENTAL  DEL  URUGUAY","REPUBLIC  OF  URUGUAY","AMÉRICA  DEL  SUR",UY,URY,"598","Colonia","Colonia",-3,52,Activo,"Mariana  Valeria  ","Bramano","Cónsul","Avda  Gral  Flores  Nº  209","CP  70.000","00  598  4522-2086","00  598  4522-2093","00598-99520638","",,"","ccolo@mrecic.gov.ar","","ccolo.mrecic.gov.ar","","https://www.facebook.com/ArgentinaenColonia  //  ",Lunes,Viernes,10:00:00,15:00:00,"","","Departamentos  de  Colonia, San  José  y  Flores" 
CCONC,"Consulado  en  Concepción","Consulate  in  Concepcion","REPÚBLICA  DE  CHILE","REPUBLIC  OF  CHILE","AMÉRICA  DEL  SUR",CL,CHL,"56","Concepción","Concepcion",-1,41,Activo,"Marta  Laura  ","Gabrieloni","Cónsul","Cochrane  635, Oficina  405, Torre  "A", Edificio  Centro  Plaza","4030000","(56-41)  2230257","56  41  2521462","(56-9)  93598961","(56-9)  93598961  ",,"","cconc@mrecic.gov.ar","","http://www.cconc.mrecic.gov.ar/","","",Lunes,Viernes,09:05:00,14:05:00,"09:00  a  14:00  hs.  (Horario    Atención    Público)","","VII  Región  del  Maule;  VIII  Región  del  Bio  Bio;  IX  Region  de  la  Araucania;  XVI  Region  de  Ñuble" 
CCURI,"Consulado  en  Curitiba","Consulate  in  Curitiba","REPÚBLICA  FEDERATIVA  DEL  BRASIL","FEDERATIVE  REPUBLIC  OF  BRAZIL","AMÉRICA  DEL  SUR",BR,BRA,"55","Curitiba","Curitiba",-3,41,Activo,"Eduardo  Alfredo  ","Leone","Cónsul","Avenida  Silva  Jardim  2705  -  Agua  Verde  -  PR","80240-020","(55-41)  3029-2411","","(55-41)  99982  5408","","(55-41)  3029-2411","","ccuri@mrecic.gov.ar","","ccuri@mrecic.gov.ar","","https://www.facebook.com/ArgEnCuritiba/  //  https://instagram.com/argEncuritiba  //  https://twitter.com/ARGenCuri  //  ",Lunes,Viernes,09:00:00,13:00:00,"09:00  a  17:00","","Estado  de  Parana, excepto  municipios  del  Sudoeste  del  Estado  (Foz  do  Iguazu, Cascavel,Toledo)  que  pertenecen  a  la  jurisdiccion  del  Consulado  en  Foz  de  Iguazu" 
CENCA,"Consulado  General  en  Encarnación","Consulate  General  in  Encarnacion","REPÚBLICA  DEL  PARAGUAY","REPUBLIC  OF  PARAGUAY","AMÉRICA  DEL  SUR",PY,PRY,"595","Encarnación","Encarnacion",-2,71,Activo,"Pablo  María  ","Sáenz  Briones","Cónsul  General","Artigas  960","-----","00  595-71  201  066","00  595-71  201  067","00  595-995  364508","","00  595-71  201066","00  595-71  201067","  cenca@mrecic.gov.ar","","www.cenca.mrecic.gov.ar","","",Lunes,Viernes,08:00:00,13:00:00,"08:00  a  13:00  hs","","Departamentos  de  Misiones, Ñeembucú  e  Itapúa" 
CFBEN,"Consulado  en  Fray  Bentos","Consulate  in  Fray  Bentos","REPÚBLICA  ORIENTAL  DEL  URUGUAY","REPUBLIC  OF  URUGUAY","AMÉRICA  DEL  SUR",UY,URY,"598","Fray  Bentos","Fray  Bentos",-3,562,Activo,"Marcelo  José  ","Irigoyen","Cónsul","Paraguay  3178","65000","(00  598)  4562  3510","(00  598)  4562  3225","(00  598)  99561260","",,"","cfben@mrecic.gov.ar","","cfben.cancilleria.gov.ar","","",,,13:00:00,18:00:00,"Lunes  a  Viernes  de  13,00  a  18,00  atención  al  público.  Consultas  y  trámites.","","Departamentos  de  Río  Negro, Soriano  y  Durazno" 
CFDIG,"Consulado  en  Foz  de  Iguazu","Consulate  in  Foz  do  Iguacu","REPÚBLICA  FEDERATIVA  DEL  BRASIL","FEDERATIVE  REPUBLIC  OF  BRAZIL","AMÉRICA  DEL  SUR",BR,BRA,"55","Foz  de  Iguazu","Foz  do  Iguacu",-3,45,Activo,"Alejandro  José  ","Massucco","Cónsul","Trav.  Eduardo  Bianchi  26  -  Centro","85851-270","00  55  (45)  3574  2969","00  55  (45)  3523  4166","0055  (45)  99113  8167","","0055  (45)  3574  2877","","cfdig@mrecic.gov.ar","","https://cfdig.cancilleria.gob.ar","","https://twitter.com/argentinaenfoz  //  https://www.facebook.com/ArgentinaEnFozDeIguazu  //  https://www.instagram.com/argentinaenfoz/  //  ",Lunes,Viernes,10:00:00,15:00:00,"Lunes  a  Viernes  de  10  a  15  horas.","","Municipios  del  Sudoeste  del  Estado  de  Paraná  (Rep.  Federativa  del  Brasil)." 
CFLOR,"Consulado  en  Florianopolis","Consulate  in  Florianopolis","REPÚBLICA  FEDERATIVA  DEL  BRASIL","FEDERATIVE  REPUBLIC  OF  BRAZIL","AMÉRICA  DEL  SUR",BR,BRA,"55","Florianopolis","Florianopolis",-3,48,Activo,"Federico  Eugenio  ","Costa","Cónsul","Rod.  José  Carlos  Daux  (SC  401), Nº  5500, Square  Corporate, Torre  Campeche, Sala  218","88032-005","00  55  48  30243035","00  55  48  30243036","005548988084171","","00  55  48  30243035","00  55  48  30243036","cflor@mrecic.gov.ar","","cflor.mrecic.gov.ar","","@argenflorianopolis  //  https://www.facebook.com/cflor.mrecic.gov.ar  //  ",,,,,"09:00  a  18:00  hs.  (Atención  al  Publico    9  a  14  hs)","","Estado  de  Santa  Catarina  -  República  Federativa  del  Brasil" 
CFRAN,"Consulado  General  y  Centro  de  Promoción  en  Francfort","Consulate  General  and  Promotion  Center  in  Frankfurt","REPÚBLICA  FEDERAL  DE  ALEMANIA","FEDERAL  REPUBLIC  OF  GERMANY","EUROPA  OCCIDENTAL",DE,DEU,"49","Francfort","Frankfurt",5,69,Activo,"Miriam","Chaves","Cónsul  General","Eschersheimer  Landstr.  19-21","60322","00  49  69  27249064","","00491729914239","","00  49  69  175419","","cfran@mrecic.gov.ar","","www.cfran.mrecic.gov.ar","","",,,,,"al  público, lunes  a  viernes, de  9.00  a  13.00  hs.","","Baden  Wurtemberg, Baviera  y  Hesse." 
CGEST,"Consulado  General  y  Centro  de  Promoción  en  Estambul","Consulate  General  and  Promotion  Center  in  Istambul","República  de  Türkiye","REPUBLIC  OF  TÜRKIYE","EUROPA  OCCIDENTAL",TR,TUR,"90","Estambul","Istambul",6,212,Activo,"  Diego  Ernesto  ","Alvarez  Rivera","Cónsul  General","Askerocagi  Cadessi  N°  9  Piso  16.  Of.1602.  Elmadag, Sisli.  Edificio  Suzer  Plaza","34367","00902122431170","00902122430633","00905300417882","",,"","cgest@mrecic.gov.ar","","cgest.cancilleria.gob.ar","","",,,,,"10  a  16:30","","Adana, Afyonkarahisar,   Amasya, Artvin, Aydin,   Balikesir, Bilecik, Burdur, Bursa, Canakkale, Corum, Denizli, Giresun, Gumushane, Hatay, Isparta, Mersin, Estambul, Esmirna, Kastamonu, Kirklareli, Kocaeli, Kutahya, Manisa, Kahramanmaras, Mugla, Ordu, Rize, Sakarya, Samsun, Sinop, Tekirdag, Tokat, Trebisonda, Usak, Zonguldak, Bayburt, Bartin, Yalova, Karabuk, Osmaniye, Duzce  y  Edirne" 
CGMUM,"Consulado  General  y  Centro  de  Promoción  en  Mumbai","Consulate  General  and  Promotion  Center  in  Mumbai","REPÚBLICA  DE  LA  INDIA","REPUBLIC  OF  INDIA","ASIA",IN,IND,"91","Mumbai","Mumbai",0,22,Activo,"Guillermo  Eduardo  ","Devoto","Cónsul  General","Chander  Mukhi  Building, 10th  Floor.  ","400  021","+91  2222871382","91  22  22871383","+91  99  30310617","","+91  22  22024746  ","","cgmum@mrecic.gov.ar","","https://cgmum.cancilleria.gob.ar/","","https://www.facebook.com/argenmumbai  //  https://www.instagram.com/argenmumbai  //  https://twitter.com/cgmum1  //  ",Lunes,Viernes,09:00:00,17:00:00,"El  horario  general  de  atención  al  público  es  de    09.00  a  17:00.  //    //  La  India  tiene  una  sola  zona  horaria  y  es  UTC  +5:30  (8:30  hs.  más  tarde  que  en  la  Argentina)sa","","Estados  de  Maharashtra  y  Karnataka" 
CGPAZ,"Consulado  General  en  La  Paz","Consulate  General  in  La  Paz","ESTADO  PLURINACIONAL  DE  BOLIVIA","PLURINATIONAL  STATE  OF  BOLIVIA","AMÉRICA  DEL  SUR",BO,BOL,"591","La  Paz","La  Paz",-4,2,Activo,"Santiago  Anibal  ","Odobez","Cónsul  General","Aspiazu  475-A","64","(591-2)  242  2175","(591-2)  200  0669","(00591)  76772967","","(591-2)  242  2175","","cgpaz@mrecic.gov.ar","","cgpaz.cancilleria.gob.ar","","",Lunes,Viernes,09:00:00,13:00:00,"","","La  Paz  -  Oruro" 
CGTEL,"Consulado  General  en  Tel  Aviv","Consulate  General  in  Tel  Aviv","ESTADO  DE  ISRAEL","STATE  OF  ISRAEL","ASIA",IL,ISR,"972","Tel  Aviv","Tel  Aviv",2,9,Activo,"Ramiro  Alfonso  ","Hidalgo","Cónsul  General","Medinat  Hayehudim  85, 2do  piso  -  POB  4025","4676670","+972  9  970  2743","","+972  52  597  8359","","+972  73  252  0847","","cgtel@cancilleria.gov.ar","","http://cgtel.mrecic.gov.ar","","https://www.facebook.com/ArgentinaEnIsrael/  //  ",,,,,"At.  Público:  Lu-Ju  09:00-13:00    Vie  09:00-12:00  ","","Estado  de  Israel  y  República  de  Chipre" 
