sede_id,sede_desc_castellano,sede_desc_ingles,tipo_seccion,nombre_titular,apellido_titular,cargo_titular,telefono_principal,telefonos_adicionales,celular_de_guardia,celulares_adicionales,fax_principal,faxes_adicionales,correo_electronico,correos_adicionales,sitio_web,sitios_web_adicionales,atencion_dia_desde,atencion_dia_hasta,atencion_hora_desde,atencion_hora_hasta,comentario_del_horario,temas
ETAIL,"Agregado  Administrativo","Administrative  Section","Seccion","  Patricio  Alejandro  ","Ibargaray","Jefe  de  Sección  Administrativa","00  66  2  259-0401","",,"","00  66  2  259-0402","","etail@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
CGUAY,"AGREGADO  CONSULAR","AGREGADO  ADMINISTRATIVO","Seccion","Rodrigo  Enrique  ","Melian","Agregado","593  4  2221525","",593  4  220  7987,"",,"","cguay@cancilleria.gov.ar","",,"",,,00:00:00,00:00:00,"",
EBRAS,"Agregado  Militar  y  de  Defensa","Agregado  Militar","Agregaduria  Militar","Coronel  Gustavo  Javier  ","Barceló","A  cargo  de  la  Agregaduría  Militar","55  61  3365-4606","",,"",,"","amabrasil@ejercito.mil.ar","",,"",,,00:00:00,00:00:00,"",
EBRAS,"Agregado  Naval","Agregado  de  Defensa  y  Naval","Agregaduria  Militar","Capitán  de  Navío  Diego  Antonio  ","Sánchez","A  cargo  de  la  Agregaduría  Naval","55  61  3365-2850","",,"",,"","agregadurianaval@gmail.com","",,"",,,00:00:00,00:00:00,"",
EBOLV,"Agregaduría  Aeronáutica","Agregaduría  Aeronáutica-","Seccion","","","A  cargo  de  la  Agregaduría  de  la  Fuerza  Aérea","+591  2  2424487","",,"","+591  2  2424410","","agraebol@yahoo.com.ar","",,"",,,,,"",
EEEUU,"Agregaduria  Aeronautica",,"Seccion","0",,,"00  1  202  452  8501","",  00  1    703  407  3152,"","00  1  202  822  8051","","comunicaciones@faaus.org","","www.faaus.org","",,,,,,
EHILE,"Agregaduria  Aeronáutica","Aeronautical    Attaché  Office","Agregaduria  Militar","Comodoro  Diego  Fabián","García","A  cargo  de  la  Agregaduría  de  la  Fuerza  Aérea","56  2  2639  6285","",,"","56  2  2639  6285","","agregaerchi@faa.mil.ar","",,"",,,09:00:00,17:00:00,"",
EFRUS,"Agregaduría  Agrícola","Agricultural    Attaché","Seccion","Alonso  Pablo","Ferrando","A  cargo  de  la  Agregaduría  de  Agricultura","+74955021020","",,"",,"","oficina@agroindustrial.ru","",,"",,,,,"",
ECHIN,"Agregaduría  Agrícola","Jefe  de  Agregadurìa  Agrìcola","Seccion","Hernan","Viola","Agregado","(+86-10)  8453  0298","",,"","","","echin@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,18:00:00,"9  a  18  hs",
ESURI,"Agregaduria  de  Defensa",,"Seccion","0",,,,"",,"",,"",,"",,"",,,,,"",
EPERU,"Agregaduria  de  Defensa  y  Aeronáutica","Agregaduria  Aeronautica  y  de  Defensa","Agregaduria  Militar","Marcelo","Ramadori","Agregado","(0051-1)  2217563","",(0051-1)  4414444,"",,"","eperu@cancilleria.gob.ar","",,"",,,,,"09:00  A    17:30",
EHILE,"Agregaduría  de  Defensa  y  Aeronáutica","  Aeronautic  and  defense  Attaché  Office","Agregaduria  Militar","Comodoro  Ricardo  Gabriel","Cappiabianca","A  cargo  de  la  Agregaduría  de  la  Fuerza  Aérea","56  2  2639  6285","",,"","56  2  2639  6285","","agregaerchi@faa.mil.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
EBOLV,"Agregaduría  de  Defensa  y  Militar","A  cargo  de  la  Agregaduría  de  Defensa.","Agregaduria  Militar","Gonzalo","HERRERA","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","+591  2  2424170","591  2  2424458",,"","+591  2  2424458","","defebol10304@yahoo.com.ar","",,"",Lunes,Viernes,09:00:00,15:00:00,"",
EALEM,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Defence  Attaché","Agregaduria  Militar","Gabriel  Rolando","Senmartin","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","00  49  (30)  2266  8948","",,"","00  49  (30)  8441  7137","","defensa_ealem@mrecic.gov.ar","",,"",,,,,"",
EFRUS,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Defense  Attaché","Agregaduria  Militar","Julio  Orlando","  Morillas","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","+74992373821","+84992373821  //  +74992374217  //  +84992374217",,"",,"","secretariadefargrusia@gmail.com","",,"",,,,,"",
ECHIN,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Agregadurìa  Militar","Agregaduria  Militar","General  de  Brigada  NORBERTO  PEDRO","Zárate","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","(+86-10)  6532  3321","",,"","","","echin@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,18:00:00,"9  a  18  hs",
EISRA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Defense, Military, Naval  and  Air  Attaché  Office","Seccion","Coronel  Claudio  Ceferino  ","Cervigni","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","972  99564694","",972  544519808,"","","","agrdefis@actcom.co.il","",,"",Lunes,Viernes,,,"08.00  a  14.00  hs",
EKUWA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","ekuwa","Seccion","0","","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","(2-02)  27369305","",,"","(2-02)  27369202    ","","ekuwa@cancilleria.gob.ar","",,"",,,,,"Domingo  a  Jueves, 09  a  15  hs",
EMEXI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Defense, Army, Navy  and  Air  Force  Attaché","Agregaduria  Militar","  Javier  ","Palazón","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","52  55  5281-6544","",,"",,"","agdefarg@prodigy.net.mx","",,"",,,,,"09:00  a  14:00  Hrs.",
ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Defence  Attach","Seccion","Comodoro  Martin","Gomez","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","","",,"",,"","eruni@cancilleria.gob.ar","",,"",Lunes,Viernes,09:30:00,17:30:00,"",
ESAFR,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Defense, Military, Naval  and  Aeronautical  Office","Agregaduria  Militar","Pablo  Adrián  ","FRANCHI","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","27  12  460  3683","",,"","27  12  460  8875","","agsa@ara.mil.ar","",,"",,,,,"",
ECOLO,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Agregaduria  Militar","Cnel.  Fernando","Graziano","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","+57  601  636  5003","",,"","","","agredefcolombia@gmail.com","",,"",,,,,"09.00  a  17.  00  hs",
EITAL,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Agregaduria  Militar","Eugenio","Almirón","Agregado",,"",,"",,"","difesa.argentina@alice.it","",,"",,,00:00:00,00:00:00,"",
ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","Agregaduría    de  Defensa, Militar, Naval  y  Fuerza  Aérea","Seccion","Auxiliar  del  agregado  de  Defensa  Diego","Soler","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea",,"",,"",,"","eruni@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,18:00:00,"",
EHILE,"Agregaduría  de  Gendarmería  Nacional","National  Gendarmerie  Attaché  Office","Seccion","Comandante  Mayor  Gustavo  Javier","Agüero","Agregado","56  9  9842  3177  /  56  9  9223  2419","",56  9  9842  3177,"56  9  9223  2419",,"","gendarmeriachile@gmail.com","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
EBOLV,"Agregaduría  de  Gendarmería  Nacional  Argentina  (GNA)","Oficial  de  Enlace  de  la  Gendarmería  Nacional  Argentina  ante  la  Policía  Boliviana.","Seccion","Miguel  Angel","Cuenca","Agregado","+591  2  2417737","",,"",,"","miguelcuenca@gna.gob.ar","",,"",,,,,"08:00  A  17:00",
EBOLV,"Agregaduría  de  Prefectura  Naval","Agregaduría  de  Prefectura  Naval","Seccion","Daniel  Germán","Bonafacini","Agregado","+591  73537808  ","",,"+591  73537808  ",,"","dgbonafacini@gmail.com","",,"",,,00:00:00,00:00:00,"",
EECUA,"Agregaduria  Militar","Agregaduria  Militar","Seccion","MARCELO  MARTIN  BELLEZZE","","Agregado","593  2562292  int.  230","",,"",,"","eecua@mrecic.gov.ar","",,"",Lunes,Viernes,,,"9  A  17  HORAS",
EEEUU,"Agregaduria  Militar",,"Seccion","0",,,"00  1  202  667  4900","",,"","00  1  202    667  4903","","argarmy@gmail.com","","www.amilusa.com","",,,,,"07:30  a  14:00  hs.",
EEGIP,"Agregaduría  Militar","Agregaduría  Militar","Agregaduria  Militar","Oscar  Buenaventura","Fierro","A  cargo  de  la  Agregaduría  Militar",,"",,"",,"","secregipto@gmail.com","",,"",Domingo,Jueves,09:00:00,15:00:00,"",
EHILE,"Agregaduria  Militar","military    Attaché  Office","Agregaduria  Militar","Coronel  Alfredo","Massarelli","A  cargo  de  la  Agregaduría  Militar","2  2638  3554","",,"",,"","  agremilchile@ejercito.mil.ar","",,"",,,09:00:00,17:00:00,"",
EEEUU,"Agregaduria  Naval",,"Seccion","0",,,"00  1  202  626  2100","",00  1  202  626  2131,"","00  1  202  626  2180","","ageu@ara.mil.ar","","www.argnavattache-usa.org","",,,,,,
EHILE,"Agregaduría  Naval","Navy    Attaché  Office","Agregaduria  Militar","Capitán  de  Navío  Marcelo  Enrique","Primo","A  cargo  de  la  Agregaduría  Naval","56  2  2638  0219","",,"","56  2  2638  0219","","agch@armada.mil.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
EFILI,"Ana  Clara  Pianezza  ","Ana  Clara  Pianezza  ","Seccion","","","Jefa  de  Sección  Económica  y  Comercial",,"",63  	2  88453218,"","","","comercial_efili@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,16:00:00,"",
EFILI,"Andrea  Silvina  Repetti","Andrea  Silvina  Repetti","Seccion","Andrea  Silvina  ","Repetti","Jefe/a  de  Misión  Adjunto/a","63  8845-3218","",,"",,"","efili@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,16:00:00,"",
CNYOR,"Asistencia  a  Argentinos  en  el  Exterior","Argentine  Community  Affairs  and  Assintance  to  Argentines  Citizens","Seccion","Estefanía  ","Donna","Jefe  de  Sección","1  212  603  0433","1  212  603  0417",1  646  283  5892,"1  917  861  4738","","","informes@cnyor.com","","http://cnyor.mrecic.gov.ar/es/comunidad","",Lunes,Viernes,09:00:00,17:00:00,"",
CHONG,"Asuntos  Consulares","Consular  Seccion","Sección  Consular","María  Verónica  ","Grygianiec","Cónsul  Adjunto  a.c.","(852)  25233208","",,"","(852)  25233208","","chong@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"09:00  -  17:00",
ETUNE,"Asuntos  Culturales  ","Cultural  Affairs  and  Press","Seccion","Juan  Ignacio  ","Rossi  Sammartino","Jefe  de  Sección  Cultural","216  71  964  782","",,"","","","etune@cancilleria.gob.ar","",,"",,,09:00:00,18:00:00,"",
ENIGE,"Asuntos  Culturales  y  Prensa","Cultural  Affairs  and  Press","Seccion","Nicolás  Ignacio  ","Battagliotti","Jefe  de  Sección  Cultural",,"",,"",,"","enige@mrecic.gov.ar","",,"",,,00:00:00,00:00:00,"",
EFRUS,"Asuntos  Estratégicos","Strategic  Affairs","Seccion","Diego  Miguel  ","Desmoures","Jefe  de  Sección","+74955648194","",,"","","","efrus@cancilleria.gob.ar","",,"",,,,,"",
EKENY,"Asuntos  Multilaterales  (PNUMA-ONU  Hábitat)","Multilateral  (UNEP  /  UN  HABITAT)","Seccion","Sebastián  Lucas  ","Nicolino","Jefe  de  Sección","+254  (0)  202  324  673","",,"",,"","ekeny@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,16:00:00,"",
ETRIA,"Asuntos  Nucleares  (OIEA, CTBTO, Zangger  C., NSG)","Nuclear  Affairs  (IAEA, CTBTO, Zangger  C., NSG)","Seccion","Juan  F.  ","Gutiérrez  Tellería","Jefe  de  Sección",,"",,"",,"","embargviena@embargviena.at;  argentinanuclear@embargviena.at","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
ETRIA,"Asuntos  ONUAEE","UNOOSA  Affairs","Seccion","Patricio  G.  ","Urueña  Palacio","Jefe  de  Sección",,"",,"",,"","etria@mrecic.gov.ar;  embargviena@embargviena.at","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
ETRIA,"Asuntos  ONUDD","UNODC  Affairs","Seccion","Lucas  Martín  ","Mobrici","Jefe  de  Sección",,"",,"",,"","etria@mrecic.gov.ar;  embargviena@embargviena.at","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
ETRIA,"Asuntos  ONUDI","UNIDO  Affairs","Seccion","María  de  la  Paz  ","García  Calvo","Jefa  de  Sección",,"",,"",,"","etria@mrecic.gov.ar;  embargviena@embargviena.at","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
ECEUR,"Cancillería","Chancellery","Seccion","Pablo","Obregón","Jefe  de  Misión  Adjunto","(+32)  2  648  93  71","",,"","","","eceur@cancilleria.gob.ar","",,"",,,,,"",""
CNYOR,"Comunidad  argentina  y  diplomacia  pública","Argentine  community  and  public  diplomacy","Seccion","Rodrigo  Agustín  ","Miranda","Cónsul","1  212  603  0439","",,"","","","cnyor@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
ECEUR,"Consejería  Agrícola","Agricultural  Office","Seccion","Gastón  ","Funes","A  cargo  de  la  Agregaduría  de  Agricultura","(+32)  2  640  33  33","",,"","","","gmfunes@magyp.gob.ar","","www.agricola-ue.org","",,,,,"",""
EEEUU,"Consejería  Agrícola","Jefe  de  Consejería  Agricola","Seccion","  José  Domingo  ","Molina","Jefe  de  Sección  Agrícola","00  1  202  238  6443","00  1  202  238  6444",,"","00  1  202  332  1324","","josemolina@embassyofargentina.us","",,"",,,,,"09:00  a  17:00  hs.",
EBRAS,"Consejería  Agrícola",,"Seccion","  Javier  Gustavo  ","Dufourquet","A  cargo  de  la  Oficina  Agrícola",,"",,"",,"","jdufourquet@consejeria-brasil.org","",,"",,,,,"",
CPCAR,"Cónsul  Adjunto","Consulado","Seccion","Ramiro  Fernando","Gerszenswit","Cónsul  Adjunto","52  1  998  103  8570","",52  1  998  103  8570,"",,"","cpcar@mrecic.gov.ar","",,"",,,00:00:00,00:00:00,"",
CMIAM,"Cónsul  General  Adjunto","Consul  General  Deputy","Seccion","Gustavo  J.  ","Fernández  Briozzo","Cónsul  General  Adjunto","+1  305-373-1889","",,"","","","cmiam@mrecic.gov.ar","","miami.consulado.gob.ar","",Lunes,Viernes,08:30:00,16:30:00,"",
EKENY,"Consular  ","Consular  ","Sección  Consular","Mariana  Yasmin  ","Pardini","Jefa  de  Sección  Consular","+254  (0)  729  638  081","",+254  (0)  791  258  635,"",,"","consulkenya@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,16:00:00,"",
CGUAY,"CONSULAR","CONSULAR","Seccion","Federico  Manuel  ","Kalbermatten","Cónsul  Adjunto","593  4  2221525","",,"",,"","cguay@cancilleria.gov.ar","",,"",,,00:00:00,00:00:00,"",
EBOLV,"Contabilidad  y  Administración.","Contabilidad  y  Administración.","Seccion","Silvia  Viviana  ","Carbelli","Jefe  de  Sección  Administrativa","+591  2  2417737","+591  2  2417737  //  +591  2  2417737",,"",,"","svc@mrecic.gov.ar","ebolv@mrecic.gov.ar","ebolv.mrecic.gov.ar","",,,,,"08:30  a  16:30",
EJAPO,"Cooperación","Cooperation","Seccion","Renato  Iván  Agustín  ","Morales","Jefe  de  Sección",,"",,"",,"","ejapo@mrecic.gov.ar","",,"",,,,,"",
EHAIT,"Cooperación  Internacional","Todo  el  territorio  de  Haiti","Seccion","César  Alberto  ","Faes","Embajador","509  2940-6711/12/13/14","",0050936760359,"",,"","ehait@cancilleria.gob.ar","",,"",Lunes,Viernes,,,"9.00  hs  a  17.00  hs",
ETUNE,"Cooperación  Internacional","International  Co-operation","Seccion","Juan  Ignacio  ","Rossi  Sammartino","Jefe  de  Sección","216  71  964  782","",,"","","","etune@mrecic.gov.ar  (correo  inst.)","",,"",Lunes,Viernes,09:00:00,18:05:00,"",
EKENY,"Cultural","Cultural","Seccion","Mariana  Yasmin  ","Pardini","Jefa  de  Sección  Cultural",,"",,"",,"","ekeny@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,16:00:00,"",
ESALV,"Cultural","Seccion  Cultural","Seccion","Diego  Raúl  ","Tames","Jefe  de  Sección  Cultural","503  22346520","",,"",,"","esalv@mrecic.gov.ar","",,"",Lunes,Viernes,08:00:00,16:00:00,"",
EKENY,"Económica  -  Comercial","Economic  -  Commercial","Seccion","Sebastián  Lucas  ","Nicolino","Jefe  de  Sección  Económica  y  Comercial",,"",,"",,"","comercialkenya@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,16:00:00,"",
ERUNI,"Económica  y  Comercial","Económica  y  Comercial","Seccion","Nicolás  Carlos  ","Abad","Jefe  de  Oficina",,"",,"",,"","eruni@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,18:00:00,"",
ERUNI,"Económica  y  Comercial","Económica  y  Comercial","Seccion","Carlos  Esteban  ","Pronato","Jefe  de  Oficina",,"",,"",,"","eruni@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,18:00:00,"",
EBOLV,"Embajador  Extraordinario  y  Plenipotenciario  de  la  República  Argentina  ","Jefe  de  Misión","Seccion","Sergio  Ariel  ","Basteiro","Embajador","+591  2  2417737","",,"","+591  2  2422728","","osb@mrecic.gov.ar","","ebolv.mrecic.gov.ar","",,,,,"08:30  a  16:30",
ESSED,"Embajadora","Ambassador","Seccion","María  Fernanda  ","Silva","Embajadora","39  06  686-5303","",,"",,"","essed@mrecic.gov.ar","","http://essed.mrecic.gov.ar/","",Lunes,Viernes,09:00:00,17:00:00,"",
ESSED,"Jefa  de  Cancillería","Cancilleria","Seccion","Wanda  Priscila  ","Konnicke","Jefe/a  de  Sección","39  06  686-5303","",,"",,"","essed@mrecic.gov.ar","","http://essed.mrecic.gov.ar/","",Lunes,Viernes,09:00:00,17:00:00,"",
EALEM,"Jefa  de  Cancillería","Head  of  Office","Seccion","Ana  Emilia  ","Sarrabayrouse","Jefa  de  Misión  Adjunta",,"",,"",,"","ealem@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
ESSED,"Jefa  de  Sección  Secretaría  y  Despacho","Secretarial  functions  Office","Seccion","Silvia  ","Stomaconi","Jefa  de  Sección","39  06  686  5303","",,"",,"","essed@mrecic.gov.ar","","http://essed.mrecic.gov.ar/","",Lunes,Viernes,09:00:00,17:00:00,"",
ESUIZ,"Jefe  de  Cancillería","Deputy  Chief  of  Mission","Seccion","  Paulo  Antonio  ","Zappia","Jefe  de  Misión  Adjunto",,"",,"",,"","esuiz@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,19:00:00,"",
ECANA,"Jefe  de  Cancillería","Deputy  Head  of  Mission","Seccion","Pedro  Xavier  ","Alchourron","Jefe  de  Misión  Adjunto","","",,"","","","ecana@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
EBELG,"Jefe  de  Cancillería","Head  of  Chancery","Seccion","Jesica  Daniela  ","Ambrosini","Jefa  de  Sección","32  2  647  7812","",,"",,"","ebelg@cancilleria.gob.ar","",,"",,,,,"",
ETUNE,"Jefe  de  Cancillería","Chancery  Chief","Seccion","Juan  Ignacio  ","Rossi  Sammartino","Jefe  de  Misión  Adjunto","216  71  964  782","",,"",,"","etune@mrecic.gov.ar  (correo  inst.)","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
EINDI,"Jefe  de  Cancilleria","Jefe  de  Cancilleria","Seccion","María  Belén  ","García  Alcat","Jefe/a  de  Misión  Adjunto/a","","",,"","","","eindi@mrecic.gov.ar","",,"",Lunes,Viernes,10:00:00,18:00:00,"",
EFRAN,"Jefe  de  Cancillería","Jefe  de  Cancillería","Seccion","Silvina  Beatriz  ","Murphy","Jefe  de  Oficina","0033144052700","",,"",,"","efran@cancilleria.gob.ar","",,"",,,,,"09:00  a  13:00  hs  y  13:00  a  17:00  hs",
EQATR,"Jefe  de  Cancillería","Jefe  de  Cancillería","Seccion","Manuel  Alfredo  ","Paz","Jefe  de  Misión  Adjunto","00  974  4417  3601","",,"",,"","eqatr@mrecic.gov.ar","",,"",,,,,"",
EFRUS,"Jefe  de  Cancillería","Deputy  Chief  of  Mission","Seccion","M.  Victoria  ","Stöger  Rodríguez","Jefa  de  Misión  Adjunta","+74955021020","",,"",,"","efrus@cancilleria.gob.ar","",,"",,,,,"",
EEEUU,"Jefe  de  Cancillería","Jefe  de  Cancillería","Seccion","Adrián  Roberto  ","Nador","Jefe  de  Misión  Adjunto","1  202  238  6425","",00  1  202  294  2029,"",,"","dbg@embassyofargentina.us","",,"",,,,,"09:00  a  17:00  hs.",
EPORT,"JEFE  DE  CANCILLERIA","DEPUTY  HEAD  OF  MISSION","Seccion","Martín  Leonardo  ","Soto","Jefe  de  Misión  Adjunto","00351  21  79  59  223","",,"","","","eport@cancilleria.gob.ar","",,"",Lunes,Viernes,09:30:00,18:00:00,"Horario  de  Embajada.",
ETAIL,"Jefe  de  Cancillería","Deputy  Head  of  Mission","Seccion","Gustavo  Héctor  ","Méndez","Jefe  de  Oficina","00  66  2  259-0401","",,"","00  66  2  259-0402","","etail@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
EUNGR,"Jefe  de  Cancillería","Head  of  Chancellery","Seccion","Ricardo  Andrés  ","Vignolo","Jefe  de  Misión  Adjunto","+36  1  326  0492","",,"",,"","  eungr@mrecic.gov.ar      ","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
EMOZA,"Jefe  de  Cancillería","Deputy  Chief  of  Mission","Seccion","Pablo  Nicolás  ","Spahr","Jefe  de  Misión  Adjunto","","",,"","","","emoza@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
ECHIN,"Jefe  de  Cancilleria","Jefe  de  Cancilleria  ","Seccion","Leandro  Damian  ","Compagnucci","Jefe  de  Sección","86  10  6532-1406  EXT.  58","",+86-138-1085-4349,"","86  10  6532-2319","","echin@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,18:00:00,"",
ENIGE,"Jefe  de  Cancillería","Jefe  de  Cancillería","Seccion","Nicolás  María  ","Perazzo  Naon","Jefe  de  Sección",,"",,"",,"","enige@mrecic.gov.ar","",,"",,,00:00:00,00:00:00,"",
EURUG,"Jefe  de  Cancillería","Chancery  chief","Seccion","Carlos","Sánchez  Vargas","Jefe  de  Sección","(+598)  29028166","",(+598)    92  947  601,"","(+598)  2900  8408","","eurug@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
EPNMA,"Jefe  de  Cancillería","Jefe  de  Cancillería","Seccion","Márcio  ","Pessoa  Da  Silveira","Jefe  de  Sección","507  302  0003","",507  66161112,"","","","epnma@mrecic.gov.ar","",,"",,,00:00:00,00:00:00,"",
EITAL,"Jefe  de  Cancillería","Jefe  de  Cancillería","Seccion","Diego  ","Alonso  Garcés","Jefe  de  Misión  Adjunto",,"",,"",,"","eital@mrecic.gov.ar","",,"",,,00:00:00,00:00:00,"",
